3 100000
0 0.001 1 0.001 0 0
0 30.101 -0.20398 30.101 -nan -nan
0 30.201 -0.20798 30.201 -nan -nan
0 30.301 -0.21198 30.301 -nan -nan
0 30.401 -0.21598 30.401 -nan -nan
0 30.501 -0.21998 30.501 -nan -nan
0 30.601 -0.22398 30.601 -nan -nan
0 30.701 -0.22798 30.701 -nan -nan
0 30.801 -0.23198 30.801 -nan -nan
0 30.901 -0.23598 30.901 -nan -nan
0 31.001 -0.23998 31.001 -nan -nan
0 31.101 -0.24398 31.101 -nan -nan
0 31.201 -0.24798 31.201 -nan -nan
0 31.301 -0.25198 31.301 -nan -nan
0 31.401 -0.25598 31.401 -nan -nan
0 31.501 -0.25998 31.501 -nan -nan
0 31.601 -0.26398 31.601 -nan -nan
0 31.701 -0.26798 31.701 -nan -nan
0 31.801 -0.27198 31.801 -nan -nan
0 31.901 -0.27598 31.901 -nan -nan
0 32.001 -0.27998 32.001 -nan -nan
0 32.101 -0.28398 32.101 -nan -nan
0 32.201 -0.28798 32.201 -nan -nan
0 32.301 -0.29198 32.301 -nan -nan
0 32.401 -0.29598 32.401 -nan -nan
0 32.501 -0.29998 32.501 -nan -nan
0 32.601 -0.30398 32.601 -nan -nan
0 32.701 -0.30798 32.701 -nan -nan
0 32.801 -0.31198 32.801 -nan -nan
0 32.901 -0.31598 32.901 -nan -nan
0 33.001 -0.31998 33.001 -nan -nan
0 33.101 -0.32398 33.101 -nan -nan
0 33.201 -0.32798 33.201 -nan -nan
0 33.301 -0.33198 33.301 -nan -nan
0 33.401 -0.33598 33.401 -nan -nan
0 33.501 -0.33998 33.501 -nan -nan
0 33.601 -0.34398 33.601 -nan -nan
0 33.701 -0.34798 33.701 -nan -nan
0 33.801 -0.35198 33.801 -nan -nan
0 33.901 -0.35598 33.901 -nan -nan
0 34.001 -0.35998 34.001 -nan -nan
0 34.101 -0.36398 34.101 -nan -nan
0 34.201 -0.36798 34.201 -nan -nan
0 34.301 -0.37198 34.301 -nan -nan
0 34.401 -0.37598 34.401 -nan -nan
0 34.501 -0.37998 34.501 -nan -nan
0 34.601 -0.38398 34.601 -nan -nan
0 34.701 -0.38798 34.701 -nan -nan
0 34.801 -0.39198 34.801 -nan -nan
0 34.901 -0.39598 34.901 -nan -nan
0 35.001 -0.39998 35.001 -nan -nan
0 35.101 -0.40398 35.101 -nan -nan
0 35.201 -0.40798 35.201 -nan -nan
0 35.301 -0.41198 35.301 -nan -nan
0 35.401 -0.41598 35.401 -nan -nan
0 35.501 -0.41998 35.501 -nan -nan
0 35.601 -0.42398 35.601 -nan -nan
0 35.701 -0.42798 35.701 -nan -nan
0 35.801 -0.43198 35.801 -nan -nan
0 35.901 -0.43598 35.901 -nan -nan
0 36.001 -0.43998 36.001 -nan -nan
0 36.101 -0.44398 36.101 -nan -nan
0 36.201 -0.44798 36.201 -nan -nan
0 36.301 -0.45198 36.301 -nan -nan
0 36.401 -0.45598 36.401 -nan -nan
0 36.501 -0.45998 36.501 -nan -nan
0 36.601 -0.46398 36.601 -nan -nan
0 36.701 -0.46798 36.701 -nan -nan
0 36.801 -0.47198 36.801 -nan -nan
0 36.901 -0.47598 36.901 -nan -nan
0 37.001 -0.47998 37.001 -nan -nan
0 37.101 -0.48398 37.101 -nan -nan
0 37.201 -0.48798 37.201 -nan -nan
0 37.301 -0.49198 37.301 -nan -nan
0 37.401 -0.49598 37.401 -nan -nan
0 37.501 -0.49998 37.501 -nan -nan
0 37.601 -0.50398 37.601 -nan -nan
0 37.701 -0.50798 37.701 -nan -nan
0 37.801 -0.51198 37.801 -nan -nan
0 37.901 -0.51598 37.901 -nan -nan
0 38.001 -0.51998 38.001 -nan -nan
0 38.101 -0.52398 38.101 -nan -nan
0 38.201 -0.52798 38.201 -nan -nan
0 38.301 -0.53198 38.301 -nan -nan
0 38.401 -0.53598 38.401 -nan -nan
0 38.501 -0.53998 38.501 -nan -nan
0 38.601 -0.54398 38.601 -nan -nan
0 38.701 -0.54798 38.701 -nan -nan
0 38.801 -0.55198 38.801 -nan -nan
0 38.901 -0.55598 38.901 -nan -nan
0 39.001 -0.55998 39.001 -nan -nan
0 39.101 -0.56398 39.101 -nan -nan
0 39.201 -0.56798 39.201 -nan -nan
0 39.301 -0.57198 39.301 -nan -nan
0 39.401 -0.57598 39.401 -nan -nan
0 39.501 -0.57998 39.501 -nan -nan
0 39.601 -0.58398 39.601 -nan -nan
0 39.701 -0.58798 39.701 -nan -nan
0 39.801 -0.59198 39.801 -nan -nan
0 39.901 -0.59598 39.901 -nan -nan
0 40.001 -0.59998 40.001 -nan -nan
0 40.101 -0.60398 40.101 -nan -nan
0 40.201 -0.60798 40.201 -nan -nan
0 40.301 -0.61198 40.301 -nan -nan
0 40.401 -0.61598 40.401 -nan -nan
0 40.501 -0.61998 40.501 -nan -nan
0 40.601 -0.62398 40.601 -nan -nan
0 40.701 -0.62798 40.701 -nan -nan
0 40.801 -0.63198 40.801 -nan -nan
0 40.901 -0.63598 40.901 -nan -nan
0 41.001 -0.63998 41.001 -nan -nan
0 41.101 -0.64398 41.101 -nan -nan
0 41.201 -0.64798 41.201 -nan -nan
0 41.301 -0.65198 41.301 -nan -nan
0 41.401 -0.65598 41.401 -nan -nan
0 41.501 -0.65998 41.501 -nan -nan
0 41.601 -0.66398 41.601 -nan -nan
0 41.701 -0.66798 41.701 -nan -nan
0 41.801 -0.67198 41.801 -nan -nan
0 41.901 -0.67598 41.901 -nan -nan
0 42.001 -0.67998 42.001 -nan -nan
0 42.101 -0.68398 42.101 -nan -nan
0 42.201 -0.68798 42.201 -nan -nan
0 42.301 -0.69198 42.301 -nan -nan
0 42.401 -0.69598 42.401 -nan -nan
0 42.501 -0.69998 42.501 -nan -nan
0 42.601 -0.70398 42.601 -nan -nan
0 42.701 -0.70798 42.701 -nan -nan
0 42.801 -0.71198 42.801 -nan -nan
0 42.901 -0.71598 42.901 -nan -nan
0 43.001 -0.71998 43.001 -nan -nan
0 43.101 -0.72398 43.101 -nan -nan
0 43.201 -0.72798 43.201 -nan -nan
0 43.301 -0.73198 43.301 -nan -nan
0 43.401 -0.73598 43.401 -nan -nan
0 43.501 -0.73998 43.501 -nan -nan
0 43.601 -0.74398 43.601 -nan -nan
0 43.701 -0.74798 43.701 -nan -nan
0 43.801 -0.75198 43.801 -nan -nan
0 43.901 -0.75598 43.901 -nan -nan
0 44.001 -0.75998 44.001 -nan -nan
0 44.101 -0.76398 44.101 -nan -nan
0 44.201 -0.76798 44.201 -nan -nan
0 44.301 -0.77198 44.301 -nan -nan
